CervejaSkol,0.5,15,CervejaLeveEPopular.
CervejaAntarctica,0.5,20,CervejaTradicionalBrasileira.
CervejaBohemia,0.5,30,CervejaDeAltaQualidade.
CervejaOriginal,0.5,35,CervejaClássicaComSaborÚnico.
CervejaCorona,0.5,40,CervejaMexicanaRefrescante.
CervejaBudweiser,0.5,45,CervejaAmericanaEquilibrada.
GuaranaAntarctica,1,20,RefrigeranteBrasileiroDeGuarana.
CocaCola,1,30,RefrigeranteClássicoDeCola.
FantaLaranja,1,25,RefrigeranteComSaborDeLaranja.
Sprite,1,25,RefrigeranteDeLimãoERefrescante.
Schweppes,1,35,RefrigeranteSofisticadoEGaseificado.
Absolut,1,120,VodkaPremiumSueca.
Smirnoff,1,55,VodkaClássicaEPopular.
JackDaniels,1,110,WhiskyAmericanoDoTennessee.
Beefeater,1,90,GinClássicoInglês.
Tanqueray,1,130,GinPremiumDeAltaQualidade.
Gordons,1,75,GinBritânicoAcessível.
ChivasRegal,1,140,WhiskyEscocêsDe12Anos.
Ballantines,1,85,WhiskyEscocêsSuave.
JohnnieWalkerBlack,1,150,WhiskyEscocêsRenomado.
Catuaba,1,30,BebidaTradicionalAfrodisíacaBrasileira.
CinquentaEUm,1,45,CachaçaPopularBrasileira.
Montilla,1,35,RumLeveESuave.
Bacardi,1,80,RumBrancoCubano.
JoseCuervo,1,100,TequilaMexicanaClássica.
TequilaSauza,1,110,TequilaSuaveEAcessível.
Jagermeister,1,120,LicorAlemãoHerbal.
Amarula,1,70,LicorAfricanoDeCreme.
Malibu,1,65,LicorDeRumComCoco.
Drambuie,1,160,LicorEscocêsSofisticado.
HavanaClub,1,90,RumCubanoPremium.
Sagatiba,1,55,CachaçaPremiumModerna.
SantaDose,1,40,LicorDoceETropical.
SmirnoffIce,1,35,VodkaComSaborCítrico.
CoronaLongneck,0.5,30,CervejaMexicanaLeveEmGarrafa.
PatagoniaAmberLager,0.5,60,CervejaArtesanalArgentina.
BlumenauIPA,0.5,70,CervejaIPABrasileiraComAmargorForte.
ColoradoAppia,0.5,75,CervejaDeTrigoComMel.
StellaArtois,0.5,50,CervejaBelgaSofisticada.
Hoegaarden,0.5,55,CervejaDeTrigoBelga.
Leffe,0.5,60,CervejaBelgaTrapista.
Guinness,0.5,80,CervejaStoutIrlandesa.
BadenBaden,0.5,85,CervejaArtesanalBrasileira.
Dreher,1,50,AguardenteDeCanaBrasileira.
Frangelico,1,95,LicorItalianoDeAvelã.
Baileys,1,110,LicorIrlandêsDeCreme.
DonJulio,1,130,TequilaPremiumMexicana.
VeuveClicquot,1,500,ChampanheFrancêsDeLuxo.
MoetChandon,1,450,ChampanheFamosoEElegante.
DomPerignon,1,1500,ChampanheDeLuxoLendário.
KrugGrandeCuvee,1,2000,ChampanhePrestigiadoERaro.
PerrierJouet,1,800,ChampanheDelicadoEFloral.
LaurentPerrier,1,700,ChampanheRefinadoETradicional.
RuinartBlanc,1,600,ChampanheFrancêsSofisticado.
Bollinger,1,550,ChampanheDeEstiloRobusto.
CocaZero,1,30,RefrigeranteDeColaSemAçúcar.
Pepsi,1,25,RefrigeranteDeColaAmericano.
Kuat,1,20,RefrigeranteDeGuaranáBrasileiro.
H2OH,1,20,ÁguaComSaborLevementeGaseificada.
RedBull,0.5,25,EnergéticoFamosoEEstimulante.
MonsterEnergy,0.5,30,EnergéticoPotente.
BurnEnergy,0.5,25,EnergéticoComSaborIntenso.
FusionEnergy,0.5,20,EnergéticoPopularNoBrasil.
GuaranaJesus,1,25,RefrigeranteCorDeRosaTípicoDoMaranhão.
MateLeao,1,15,CháGeladoBrasileiro.
IceTeaLimon,1,20,CháGeladoDeLimãoRefrescante.
IceTeaPessego,1,20,CháGeladoDePêssegoSuave.
SchweppesCitrus,1,35,RefrigeranteCítricoSofisticado.
SchweppesTonica,1,35,ÁguaTônicaClássica.
Orloff,1,40,VodkaAcessívelEPopular.
BlackLabel,1,250,WhiskyEscocêsDe12Anos.
BlueLabel,1,600,WhiskyDeLuxoDaJohnnieWalker.
RoyalSalute,1,900,WhiskyEscocêsSuperPremium.
WoodfordReserve,1,150,BourbonAmericanoRefinado.
FourRoses,1,80,BourbonSuaveEAromático.
MakersMark,1,90,BourbonArtesanal.
JimBeam,1,70,BourbonAmericanoPopular.
Glacial,0.5,5,foge.
Lokal,0.5,10,atéVai.
Petra,0.5,20,Abençoada.
Brahma,0.5,25,Delicia.
Heineken,0.5,50,NumSeiNaoEm.
CoquinhaGelada,1,25,DEUS.
VelhoBarreiro,1,50,NaoDIrija.
Askov,1,65,Adolescente.
LitroBrahma,1,50,DeliciaMaior.
RedLabel,1,100,NumSeiNaoEmMaior.
Feriado,2,50,umRespiro
SalaDoPanico,2,65,PodeGritar.
Psicologo,2,75,PqEstouSendoPreso?
SeguroDesemprego,2,100,TrabalharSemTrabalhar.
FeriasRemuneradas,2,999,ThisIsHAPPY.
